frame,x,y,area,particle
0,143.08361204013377,203.50836120401337,299.0,0
0,453.0261194029851,259.8805970149254,268.0,1
0,690.203125,270.4348958333333,384.0,2
0,130.82587064676616,308.6119402985075,201.0,3
0,124.80288461538461,432.59615384615387,208.0,4
0,68.68856447688565,523.5571776155717,411.0,5
0,314.7281879194631,622.3624161073825,298.0,6
1,314.68195718654437,623.4923547400612,327.0,6
1,67.71527777777777,523.2638888888889,432.0,5
1,130.7566371681416,307.5486725663717,226.0,3
1,124.49583333333334,432.68333333333334,240.0,4
1,452.9157894736842,260.1614035087719,285.0,1
1,142.78412698412697,203.23809523809524,315.0,0
1,690.4478672985782,270.73222748815164,422.0,2
2,142.5979381443299,203.02405498281786,291.0,0
2,452.9280303030303,260.36742424242425,264.0,1
2,691.4893048128342,272.97058823529414,374.0,2
2,130.48756218905473,307.0497512437811,201.0,3
2,124.6355140186916,432.0700934579439,214.0,4
2,67.48418491484185,523.1751824817518,411.0,5
2,314.6215384615385,624.4307692307692,325.0,6
3,314.47546012269936,625.9877300613497,326.0,6
3,66.39066339066339,522.9852579852579,407.0,5
3,124.5,431.3130841121495,214.0,4
3,453.0,261.4863813229572,257.0,1
3,142.1263157894737,202.1578947368421,285.0,0
3,691.8770491803278,273.6748633879781,366.0,2
4,141.59459459459458,201.02364864864865,296.0,0
4,453.03474903474904,261.7644787644788,259.0,1
4,692.5988857938719,275.24791086350973,359.0,2
4,124.05701754385964,430.9868421052632,228.0,4
4,65.39518072289157,522.6987951807229,415.0,5
4,313.9911504424779,626.3716814159292,339.0,6
5,130.14,304.46,200.0,3
5,313.78285714285715,628.1542857142857,350.0,6
5,64.95704057279237,522.6252983293556,419.0,5
5,123.13223140495867,429.09090909090907,242.0,4
5,453.02371541501975,262.05928853754943,253.0,1
5,141.1296928327645,199.89419795221843,293.0,0
5,692.7816711590297,275.9622641509434,371.0,2
6,63.91846522781775,522.3717026378897,417.0,5
6,140.04950495049505,197.98019801980197,303.0,0
6,452.88759689922483,262.43023255813955,258.0,1
6,693.3839541547278,277.0372492836676,349.0,2
6,122.89519650655022,428.50218340611355,229.0,4
6,313.3873873873874,629.3393393393393,333.0,6
7,122.76211453744493,428.2819383259912,227.0,4
7,313.0948012232416,629.9877675840978,327.0,6
7,130.03827751196172,302.7607655502392,209.0,3
7,63.575117370892016,522.4037558685446,426.0,5
7,452.85140562248995,262.82329317269074,249.0,1
7,139.75477707006368,197.30254777070064,314.0,0
7,693.66391184573,278.63085399449034,363.0,2
8,139.06837606837607,196.64387464387465,351.0,0
8,452.9,262.5357142857143,280.0,1
8,693.6018735362998,279.01873536299763,427.0,2
8,129.73728813559322,302.1525423728813,236.0,3
8,122.5632183908046,428.4022988505747,261.0,4
8,62.28888888888889,522.1333333333333,450.0,5
8,312.77272727272725,630.5347593582887,374.0,6
9,312.77810650887574,631.5059171597633,338.0,6
9,60.8394495412844,521.8348623853211,436.0,5
9,122.16883116883118,427.72294372294374,231.0,4
9,452.8641975308642,263.05349794238685,243.0,1
9,138.73667711598745,196.26018808777428,319.0,0
9,694.5014164305949,281.09348441926346,353.0,2
9,129.9268292682927,300.6439024390244,205.0,3
10,138.28938906752413,195.60128617363344,311.0,0
10,452.89112903225805,262.85483870967744,248.0,1
10,694.9529411764706,282.4647058823529,340.0,2
